Country , 1932, 1937, 1949, 1950, 1951
Angora, 0, 0, 15, 15, 15
Belgian Congo, 0, 1, 6, 6, 0
Cape Verde Islands, 0, 0, 2, 3, 2
"Kenya,  Uganda and Tanganyika", 0, 1, 2, 2, 3
Morocco [Fr.], 1, 1, 0, 4, 4
Mozambique, 0, 1, 2, 2, 2
Nigeria, 0, 0, 1, 3, 3
Runion, 1, 1, 3, 3, 3
Southern Rhodesia, 0, 0, 5, 5, 6
Tunisia, 0, 5, 4, 1, 1
Union of South Africa, 5, 7, 10, 10, 10
Canada, 70, 88, 207, 236, 244
Dominican Republic, 1, 24, 24, 25, 26
Guadeloupe, 0, 0, 2, 2, 2
Haiti, 0, 3, 8, 11, 0
Martinique, 0, 2, 6, 6, 4
Mexico, 0, 101, 212, 0, 0
Netherlands Antilles, 0, 0, 1, 2, 3
Panama, 0, 0, 0, 0, 58
United States, 0, 734, "3, 761", "4, 195", "4, 270"
Argentina, 37, 40, 0, 0, 0
Brazil, 22, 63, 227, 253, 0
Paraguay, 0, 0, 0, 13, 15
Peru, 4, 8, 49, 0, 0
Uruguay, 0, 0, 58, 58, 58
Ceylon, 1, 1, 2, 2, 2
India, 4, 11, 25, 25, 25
Indochina, 1, 5, 3, 6, 5
Indonesia, 0, 0, 15, 15, 21
Israel, 0, 0, 3, 6, 6
Japan, 21, 51, 89, 81, 109
Macau, 0, 0, 1, 1, 2
Malaya, 0, 3, 6, 6, 6
Pakistan, 0, 0, 0, 0, 5
Syria, 0, 0, 0, 0, 2
Turkey, 2, 2, 4, 3, 3
Austria, 0, 0, 27, 42, 52
Belgium, 2, 3, 13, 13, 13
Czechoslovakia, 0, 8, 15, 0, 0
Denmark, 3, 3, 6, 6, 11
Finland, 8, 11, 15, 15, 16
France, 28, 26, 74, 81, 85
Germany, 26, 30, 0, 120, 174
Greece, 0, 0, 0, 18, 19
Hungary, 3, 2, 5, 0, 0
Ireland (Rep.), 3, 3, 4, 4, 2
Italy, 12, 17, 40, 68, 76
Luxembourg, 0, 1, 2, 3, 3
Netherlands, 3, 6, 9, 9, 9
Norway, 13, 16, 22, 22, 24
Portugal, 0, 25, 21, 25, 30
Sweden, 31, 31, 33, 33, 33
Switzerland, 5, 6, 8, 8, 8
United Kingdom, 16, 13, 42, 42, 61
Yugoslavia, 0, 0, 0, 0, 14
Australia, 62, 100, 148, 153, 156
New Zealand, 34, 26, 31, 30, 30
