Country, 1932, 1937, 1953, 1954, 1955
Angola, 0, 0, 15, 15, 16
Belg. Congo, 0, 1, 6, 7, 8
Cape Verde Is., 0, 0, 2, 2, 3
Fr. Eq. Africa, 0, 0, 2, 1, 2
Fr. West Africa, 0, 0, 3, 3, 5
"Kenya,  Uganda,  Tanganyika", 0, 1, 4, 7, 7
Morocco A, 1, 1, 4, 4, 0
Morocco B, 0, 0, 2, 2, 3
Mozambique, 0, 1, 3, 4, 4
Nigeria, 0, 0, 6, 4, 4
Port. Guinea, 0, 0, 1, 2, 1
Reunion, 1, 1, 3, 2, 1
"Rhodesia,  Nyasaland,  Fed.", 0, 0, 0, 8, 0
Union of South Africa, 5, 7, 11, 11, 11
Barbados, 0, 0, 2, 1, 1
Canada, 70, 88, 229, 238, 246
Cuba, 0, 0, 0, 138, 156
Dominican Rep., 1, 24, 29, 48, 62
Guadeloupe, 0, 0, 2, 2, 2
Haiti, 0, 3, 17, 0, 0
Jamaica, 0, 0, 3, 4, 0
Martinique, 0, 2, 2, 2, 1
Mexico, 0, 101, 227, 0, 0
Neth. Antilles, 0, 1, 3, 4, 5
Panama, 0, 0, 58, 0, 59
United States, 0, 734, "3, 047", "3, 221", "3, 364"
Argentina, 37, 40, 0, 64, 64
Brazil, 22, 50, 0, 687, 593
Chile, 37, 0, 94, 99, 96
Ecuador, 0, 0, 54, 0, 0
Falkland Is., 0, 0, 3, 1, 0
Paraguay, 0, 0, 15, 0, 0
Peru, 4, 8, 58, 0, 0
Uruguay, 0, 0, 66, 0, 0
Ceylon, 1, 1, 2, 1, 0
Hong Kong, 1, 3, 3, 3, 2
India, 4, 11, 25, 26, 27
Indonesia, 0, 0, 26, 26, 26
Israel, 0, 0, 7, 8, 8
Japan, 21, 51, 132, 145, 157
"Korea,  S.", 0, 0, 13, 0, 0
Laos, 0, 0, 1, 2, 0
Macau, 0, 1, 2, 1, 2
Malaya, 0, 3, 4, 11, 6
Pakistan, 0, 0, 5, 7, 8
Syria, 0, 0, 2, 2, 2
Thailand, 0, 0, 0, 15, 16
Turkey, 2, 2, 3, 0, 5
Viet-Nam, 0, 5, 4, 4, 4
Austria, 0, 0, 86, 88, 90
Belgium, 2, 3, 12, 12, 12
Czechoslovakia, 0, 8, 15, 0, 0
Denmark, 3, 3, 11, 11, 13
Finland, 8, 11, 23, 34, 23
France, 28, 26, 78, 75, 42
Germany, 26, 30, 220, 232, 262
Greece, 0, 1, 20, 17, 16
Iceland, 1, 1, 4, 4, 4
Ireland, 3, 3, 0, 3, 3
Italy, 12, 17, 109, 130, 178
Luxembourg, 0, 1, 4, 4, 4
Netherlands, 3, 6, 8, 8, 8
Norway, 13, 16, 26, 29, 29
Portugal, 0, 25, 42, 43, 45
Saar, 0, 0, 1, 3, 0
Spain, 0, 0, 89, 0, 0
Sweden, 31, 31, 34, 34, 35
Switzerland, 5, 6, 9, 10, 10
United Kingdom, 16, 13, 63, 65, 54
Yugoslavia, 0, 4, 18, 17, 17
Australia, 62, 111, 159, 161, 160
New Zealand, 34, 26, 29, 31, 31
