Country, 1953, 1955, 1956, 1957, 1958
Morocco, 2, 2, 0, 0, 0
Canada, 12, 26, 33, 40, 52
Cuba, 7, 23, 23, 23, 0
Dominican Republic, 0, 0, 0, 0, 0
Mexico, 12, 12, 12, 12, 8
United States, 356, 482, 511, 544, 562
SOUTH AMERICA, 0, 0, 0, 0, 0
Argentina, 1, 1, 1, 1, 1
Brazil, 3, 0, 0, 6, 0
Colombia, 0, 4, 7, 8, 0
Uruguay, 0, 0, 1, 1, 1
Venezuela, 0, 3, 3, 10, 10
Cyprus, 0, 0, 0, 0, 1
Hong Kong, 0, 0, 0, 0, 1
Japan, 7, 7, 15, 24, 68
Philippines, 1, 2, 2, 2, 0
Thailand, 0, 1, 1, 1, 0
"UAR,  Syria", 0, 0, 0, 0, 6
Austria, 0, 4, 4, 9, 13
Belgium, 0, 4, 4, 4, 4
Czechoslovakia, 0, 0, 3, 3, 0
Denmark, 0, 0, 3, 4, 6
Finland, 1, 0, 3, 3, 8
France, 0, 0, 16, 25, 34
"Germany,  Eastern", 1, 0, 0, 0, 0
"Germany,  Federal Republic", 0, 0, 63, 77, 162
Saar, 0, 1, 1, 1, 0
Italy, 0, 0, 64, 173, 269
Luxembourg, 0, 1, 1, 1, 1
Monaco, 0, 1, 1, 1, 1
Netherlands, 0, 0, 2, 4, 4
Portugal, 0, 0, 1, 3, 5
Spain, 0, 0, 1, 1, 3
Sweden, 0, 0, 3, 3, 0
Switzerland, 0, 0, 4, 6, 10
United Kingdom, 0, 0, 19, 24, 29
Australia, 0, 0, 5, 6, 6
