Country, Code, Number
Algeria, L, 67.0
Nigeria, R, 6.0
"Rhodesia and Nyasaland,  Fed. of", R, 4.0
Tunisia, 0, 2.0
United Arab Rep., L, 90.0
Bahama Islands, R, 2.6
Bermuda, R, 9.4
Canada, R, "14, 100.0"
Costa Rica, R, 7.2
Cuba, R, 500.0
Dominican Rep., R, 418.0
El Salvador, R, 20.0
Guatemala, R, 535.0
Haiti, R, 2.0
Honduras, R, 4.0
Mexico, R, 900.0
Neth. Antilles, 0, 8.0
Nicaragua, R, 5.0
Panama, R, 30.0
United States, R, "56, 300.0"
Argentina, R, 700.0
Brazil, R, "1, 621.0"
Chile, R, 3.0
Colombia, R, "1, 200.0"
Ecuador, R, 5.0
Peru, R, 82.0
Uruguay, R, 60.0
Venezuela, R, 263.0
Cambodia, 0, 0.3
China (mainland), R, 20.0
Cyprus, L, 3.2
Hong Kong, L, 9.5
India, L, 0.5
Iran, R, 40.0
Iraq, R, 435.0
Japan, L, "9, 215.0"
"Korea,  Rep. of", R, 120.0
Kuwait, 0, 62.0
Lebanon, R, 48.0
Philippines, R, 45.0
Saudi Arabia, R, 8.7
Syria, R, 1.0
Thailand, R, 80.0
Turkey, R, 1.0
Austria, L, 290.0
Belgium, L, 821.0
Bulgaria, R, 11.0
Czechoslovakia, L, "1, 089.0"
Denmark, L, 708.0
Finland, L, 190.0
France, L, "2, 555.0"
"Germany,  Eastern", L, "1, 459.0"
"Germany,  Fed. Rep. of", L, "5, 888.0"
Hungary, L, 206.0
Ireland, R, 60.0
Italy, L, "2, 762.0"
Luxembourg, R, 10.0
Malta and Gozo, L, 16.0
Monaco, R, "1, 012.0"
Netherlands, L, "1, 040.0"
Norway, L, 107.0
Poland, L, 648.0
Portugal, L, 68.0
Romania, L, 88.0
Spain, L, 400.0
Sweden, L, "1, 327.0"
Switzerland, L, 194.0
United Kingdom, L, "11, 657.0"
Yugoslavia, L, 62.0
Australia, L, "1, 500.0"
New Zealand, L, 19.0
USSR, L, "6, 000.0"
